timestamp,query_id,rank,match_id,final_score,visual_score,semantic_score,label_jaccard,avg_iou,match_rate,overall_quality_score
2025-11-22 23:08:12,autumn_0305,1,winter_0345,0.8492,0.8560,0.8333,0.8333,0.2256,0.1667,0.4569
2025-11-22 23:08:12,autumn_0305,2,winter_0074,0.8272,0.8756,0.7143,0.7143,0.2233,0.0000,0.4036
2025-11-22 23:08:12,autumn_0305,3,winter_0077,0.8239,0.8709,0.7143,0.7143,0.2312,0.1667,0.4401
2025-11-22 23:08:12,autumn_0305,4,winter_0076,0.8235,0.8703,0.7143,0.7143,0.2768,0.1667,0.4583
2025-11-22 23:08:12,autumn_0305,5,winter_1219,0.8235,0.8703,0.7143,0.7143,0.1960,0.0000,0.3927
2025-11-22 23:14:07,autumn_0000,1,winter_0456,0.8766,0.8849,0.8571,0.8571,0.2708,0.1429,0.4798
2025-11-22 23:14:07,autumn_0000,2,winter_0901,0.8729,0.8796,0.8571,0.8571,0.2004,0.0000,0.4230
2025-11-22 23:14:07,autumn_0000,3,winter_0902,0.8727,0.8793,0.8571,0.8571,0.2238,0.1429,0.4609
2025-11-22 23:14:07,autumn_0000,4,winter_0892,0.8710,0.8769,0.8571,0.8571,0.2718,0.0000,0.4516
2025-11-22 23:14:07,autumn_0000,5,winter_0443,0.8637,0.8666,0.8571,0.8571,0.2288,0.1429,0.4629
2025-11-22 23:32:48,autumn_0305,1,winter_0345,0.8492,0.8560,0.8333,0.8333,0.2256,0.1667,0.4569
2025-11-22 23:32:48,autumn_0305,2,winter_0074,0.8272,0.8756,0.7143,0.7143,0.2233,0.0000,0.4036
2025-11-22 23:32:48,autumn_0305,3,winter_0077,0.8239,0.8709,0.7143,0.7143,0.2312,0.1667,0.4401
2025-11-22 23:32:48,autumn_0305,4,winter_0076,0.8235,0.8703,0.7143,0.7143,0.2768,0.1667,0.4583
2025-11-22 23:32:48,autumn_0305,5,winter_1219,0.8235,0.8703,0.7143,0.7143,0.1960,0.0000,0.3927
2025-11-22 23:51:30,autumn_0864,1,winter_0743,0.8046,0.8638,0.6667,0.6667,0.4082,0.2000,0.5033
2025-11-22 23:51:30,autumn_0864,2,winter_0422,0.8045,0.8636,0.6667,0.6667,0.0706,0.0000,0.3282
2025-11-22 23:51:30,autumn_0864,3,winter_0684,0.8044,0.8634,0.6667,0.6667,0.4296,0.4000,0.5518
2025-11-22 23:51:30,autumn_0864,4,winter_0465,0.8028,0.8612,0.6667,0.6667,0.2316,0.0000,0.3927
2025-11-22 23:51:30,autumn_0864,5,winter_0686,0.8017,0.8596,0.6667,0.6667,0.4471,0.4000,0.5588
2025-11-23 00:04:28,autumn_1136,1,winter_0983,0.8501,0.8715,0.8000,0.8000,0.2070,0.2000,0.4428
2025-11-23 00:04:28,autumn_1136,2,winter_0920,0.8468,0.8669,0.8000,0.8000,0.1137,0.0000,0.3655
2025-11-23 00:04:28,autumn_1136,3,winter_0922,0.8387,0.8552,0.8000,0.8000,0.0697,0.0000,0.3479
2025-11-23 00:04:28,autumn_1136,4,winter_0924,0.8320,0.8457,0.8000,0.8000,0.0597,0.0000,0.3439
2025-11-23 00:04:28,autumn_1136,5,winter_1090,0.8286,0.8980,0.6667,0.6667,0.2709,0.2000,0.4484
2025-11-23 00:17:56,autumn_1726,1,winter_0839,0.8791,0.8885,0.8571,0.8571,0.4032,0.4286,0.5899
2025-11-23 00:17:56,autumn_1726,2,winter_0840,0.8779,0.8868,0.8571,0.8571,0.5594,0.7143,0.7095
2025-11-23 00:17:56,autumn_1726,3,winter_0835,0.8777,0.8865,0.8571,0.8571,0.4921,0.5714,0.6540
2025-11-23 00:17:56,autumn_1726,4,winter_0074,0.8681,0.8728,0.8571,0.8571,0.3062,0.2857,0.5225
2025-11-23 00:17:56,autumn_1726,5,winter_0075,0.8659,0.8697,0.8571,0.8571,0.3599,0.2857,0.5440
2025-11-23 00:39:22,winter_0000,1,autumn_0894,0.9233,0.8905,1.0000,1.0000,0.1606,0.1667,0.4976
2025-11-23 00:39:22,winter_0000,2,autumn_1124,0.9134,0.8762,1.0000,1.0000,0.1920,0.1667,0.5101
2025-11-23 00:39:22,winter_0000,3,autumn_1144,0.9071,0.8673,1.0000,1.0000,0.2102,0.1667,0.5174
2025-11-23 00:39:22,winter_0000,4,autumn_0049,0.8721,0.8785,0.8571,0.8571,0.2569,0.3333,0.5123
2025-11-23 00:39:22,winter_0000,5,autumn_0135,0.8689,0.8842,0.8333,0.8333,0.1931,0.1667,0.4439
2025-11-23 01:08:46,winter_0309,1,autumn_0894,0.9035,0.8622,1.0000,1.0000,0.2486,0.0000,0.4994
2025-11-23 01:08:46,winter_0309,2,autumn_1124,0.8997,0.8567,1.0000,1.0000,0.2155,0.0000,0.4862
2025-11-23 01:08:46,winter_0309,3,autumn_1144,0.8979,0.8542,1.0000,1.0000,0.2104,0.1667,0.5175
2025-11-23 01:08:46,winter_0309,4,autumn_1604,0.8607,0.8622,0.8571,0.8571,0.1963,0.1667,0.4547
2025-11-23 01:08:46,winter_0309,5,autumn_1609,0.8596,0.8606,0.8571,0.8571,0.2303,0.1667,0.4683
2025-11-23 01:29:09,winter_0491,1,autumn_1147,0.9074,0.8678,1.0000,1.0000,0.0100,0.0000,0.4040
2025-11-23 01:29:09,winter_0491,2,autumn_0131,0.8731,0.8901,0.8333,0.8333,0.2235,0.0000,0.4227
2025-11-23 01:29:09,winter_0491,3,autumn_0332,0.8688,0.8841,0.8333,0.8333,0.2468,0.2000,0.4720
2025-11-23 01:29:09,winter_0491,4,autumn_1123,0.8680,0.8828,0.8333,0.8333,0.3234,0.4000,0.5427
2025-11-23 01:29:09,winter_0491,5,autumn_1128,0.8678,0.8825,0.8333,0.8333,0.1489,0.0000,0.3929
2025-11-23 03:29:18,winter_0797,1,autumn_0736,0.9064,0.8663,1.0000,1.0000,0.2955,0.2500,0.5682
2025-11-23 03:29:18,winter_0797,2,autumn_1689,0.8797,0.8757,0.8889,0.8889,0.2388,0.1250,0.4761
2025-11-23 03:29:18,winter_0797,3,autumn_1690,0.8782,0.8737,0.8889,0.8889,0.1930,0.1250,0.4578
2025-11-23 03:29:18,winter_0797,4,autumn_0004,0.8757,0.8701,0.8889,0.8889,0.3608,0.3750,0.5749
