timestamp,query_id,rank,match_id,geometric_confidence,num_inliers,avg_inliers,detection_matches,label_jaccard,avg_iou,match_rate,overall_quality_score
2025-11-23 05:18:36,autumn_0000,1,winter_0002,1.0000,4,4.00,1,0.5556,0.2030,0.0000,0.3479
2025-11-23 05:18:36,autumn_0000,2,winter_0006,1.0000,4,4.50,2,0.5714,0.1218,0.0000,0.2773
2025-11-23 05:18:36,autumn_0000,3,winter_0008,1.0000,4,4.00,1,0.5000,0.1047,0.0000,0.2633
2025-11-23 05:18:36,autumn_0000,4,winter_0009,1.0000,4,4.00,1,0.6250,0.0950,0.1429,0.3398
2025-11-23 05:18:36,autumn_0000,5,winter_0010,1.0000,4,4.00,1,0.5000,0.0880,0.0000,0.2566
2025-11-23 05:26:39,autumn_0305,1,winter_0006,1.0000,4,4.00,1,0.2500,0.0924,0.0000,0.1786
2025-11-23 05:26:39,autumn_0305,2,winter_0009,1.0000,4,4.00,1,0.3333,0.2254,0.1667,0.3235
2025-11-23 05:26:39,autumn_0305,3,winter_0010,1.0000,4,4.00,2,0.5714,0.1706,0.0000,0.3230
2025-11-23 05:26:39,autumn_0305,4,winter_0012,1.0000,4,4.00,1,0.4286,0.1373,0.0000,0.2502
2025-11-23 05:26:39,autumn_0305,5,winter_0013,1.0000,4,4.00,1,0.3750,0.1369,0.0000,0.2506
2025-11-23 05:33:01,autumn_0864,1,winter_0000,1.0000,4,4.00,2,0.5714,0.0887,0.0000,0.2903
2025-11-23 05:33:01,autumn_0864,2,winter_0001,1.0000,4,4.00,1,0.6667,0.2529,0.2000,0.4412
2025-11-23 05:33:01,autumn_0864,3,winter_0003,1.0000,4,4.00,1,0.3333,0.2287,0.0000,0.2629
2025-11-23 05:33:01,autumn_0864,4,winter_0004,1.0000,4,4.00,1,0.3333,0.1831,0.0000,0.2447
2025-11-23 05:33:01,autumn_0864,5,winter_0007,1.0000,4,4.00,1,0.4286,0.1349,0.0000,0.2825
2025-11-23 05:37:38,autumn_1136,1,winter_0001,1.0000,4,4.00,1,0.6667,0.1852,0.0000,0.3741
2025-11-23 05:37:38,autumn_1136,2,winter_0004,1.0000,4,4.00,1,0.3333,0.1273,0.0000,0.2223
2025-11-23 05:37:38,autumn_1136,3,winter_0012,1.0000,4,4.00,2,0.2857,0.1148,0.0000,0.2116
2025-11-23 05:37:38,autumn_1136,4,winter_0014,1.0000,4,4.00,1,0.4286,0.0881,0.0000,0.2638
2025-11-23 05:37:38,autumn_1136,5,winter_0017,1.0000,4,5.50,2,0.4286,0.0656,0.0000,0.2548
2025-11-23 05:52:43,autumn_1726,1,winter_0000,1.0000,4,4.00,1,0.6250,0.1306,0.0000,0.3255
2025-11-23 05:52:43,autumn_1726,2,winter_0002,1.0000,4,4.00,1,0.5556,0.1859,0.1429,0.3696
2025-11-23 05:52:43,autumn_1726,3,winter_0004,1.0000,4,5.50,4,0.5556,0.2333,0.1429,0.3886
2025-11-23 05:52:43,autumn_1726,4,winter_0005,1.0000,4,4.00,2,0.5000,0.2118,0.1429,0.3347
2025-11-23 05:52:43,autumn_1726,5,winter_0008,1.0000,4,4.00,2,0.7143,0.2357,0.1429,0.4086
2025-11-23 06:09:15,winter_0000,1,autumn_0002,1.0000,4,5.00,4,0.5556,0.3249,0.5000,0.4716
2025-11-23 06:09:15,winter_0000,2,autumn_0003,1.0000,4,4.00,3,0.6667,0.2276,0.1667,0.3910
2025-11-23 06:09:15,winter_0000,3,autumn_0004,1.0000,4,4.00,1,0.6667,0.2830,0.3333,0.4465
2025-11-23 06:09:15,winter_0000,4,autumn_0006,1.0000,4,4.00,1,0.4286,0.2015,0.1667,0.3092
2025-11-23 06:09:15,winter_0000,5,autumn_0010,1.0000,4,4.00,1,0.5714,0.0859,0.0000,0.2891
2025-11-23 06:16:20,winter_0309,1,autumn_0026,1.0000,4,4.00,1,0.6250,0.2287,0.0000,0.3647
2025-11-23 06:16:20,winter_0309,2,autumn_0072,1.0000,4,4.00,1,0.7143,0.1789,0.0000,0.3858
2025-11-23 06:16:20,winter_0309,3,autumn_0074,1.0000,4,4.00,1,0.7143,0.2020,0.0000,0.3951
2025-11-23 06:16:20,winter_0309,4,autumn_0217,1.0000,4,4.00,1,0.5000,0.1777,0.0000,0.3211
2025-11-23 06:16:20,winter_0309,5,autumn_0301,1.0000,4,4.00,1,0.7143,0.1012,0.0000,0.3548
2025-11-23 06:30:26,winter_0491,1,autumn_0000,1.0000,4,4.00,2,0.5000,0.3248,0.2000,0.3914
2025-11-23 06:30:26,winter_0491,2,autumn_0001,1.0000,4,4.00,1,0.6667,0.4051,0.4000,0.5421
2025-11-23 06:30:26,winter_0491,3,autumn_0003,1.0000,4,4.00,1,0.5556,0.2715,0.0000,0.3308
2025-11-23 06:30:26,winter_0491,4,autumn_0016,1.0000,4,4.00,1,0.5714,0.1571,0.0000,0.3176
2025-11-23 06:30:26,winter_0491,5,autumn_0021,1.0000,4,4.00,1,0.5714,0.2823,0.4000,0.4477
2025-11-23 06:51:54,winter_0797,1,autumn_0000,1.0000,4,4.00,2,0.6667,0.2718,0.2500,0.4462
2025-11-23 06:51:54,winter_0797,2,autumn_0002,1.0000,4,4.00,3,0.7778,0.2448,0.1250,0.4563
2025-11-23 06:51:54,winter_0797,3,autumn_0003,1.0000,4,4.40,5,0.8889,0.3181,0.2500,0.5328
2025-11-23 06:51:54,winter_0797,4,autumn_0005,1.0000,4,4.00,1,0.6667,0.3160,0.3750,0.4889
2025-11-23 06:51:54,winter_0797,5,autumn_0008,1.0000,4,4.00,2,0.1250,0.0431,0.0000,0.0672
2025-11-23 07:15:27,winter_1109,1,autumn_0000,1.0000,5,5.00,3,0.6667,0.2036,0.0000,0.3689
2025-11-23 07:15:27,winter_1109,2,autumn_0001,1.0000,4,4.00,3,0.4444,0.2776,0.2500,0.3569
2025-11-23 07:15:27,winter_1109,3,autumn_0002,1.0000,4,4.00,5,0.7778,0.1944,0.0000,0.4111
2025-11-23 07:15:27,winter_1109,4,autumn_0003,1.0000,4,5.25,4,0.8889,0.1921,0.0000,0.4324
2025-11-23 07:15:27,winter_1109,5,autumn_0004,1.0000,4,4.00,6,0.8889,0.1733,0.0000,0.4249
